step,time_s,nav_mode,raw_ps0,raw_ps7,raw_ps1,raw_ps6,raw_ps2,raw_ps5,dist_raw_front_R,dist_raw_front_L,dist_raw_front_avg,dist_filtered_front_R,dist_filtered_front_L,dist_filtered_avg,dist_diag_R,dist_diag_L,dist_lat_R,dist_lat_L,encoder_left,encoder_right,delta_left,delta_right,delta_advance,kalman_prediction,kalman_estimate,kalman_gain,kalman_P,decision_distance,action,vel_left,vel_right
0,0.0,kalman,63.66,69.98,69.73,71.49,63.76,66.77,0.12,0.058829,0.089415,0.12,0.058829,0.089415,0.058917,0.058314,0.12,0.059963,0.0,0.0,0.0,0.0,0.0,0.12,0.090857,0.95283,0.00047642,0.090857,FORWARD_CURVE_R,2.77,2.78
1,0.064,kalman,67.79,67.07,68.71,69.97,71.73,70.24,0.059598,0.059856,0.059727,0.089799,0.059342,0.074571,0.059272,0.058835,0.058231,0.058742,0.1758,0.1758,0.17584,0.17584,0.003605,0.087253,0.080461,0.535495,0.00026775,0.080461,FORWARD_CURVE_R,2.78,2.79
2,0.128,kalman,69.65,65.05,66.6,65.8,62.72,69.75,0.058945,0.060588,0.059766,0.079514,0.059758,0.069636,0.060025,0.060313,0.12,0.058911,0.3517,0.358,0.17584,0.18212,0.003669,0.076792,0.073759,0.423796,0.0002119,0.073759,FORWARD_CURVE_R,2.81,2.8
3,0.192,kalman,62.82,70.81,67.04,68.08,64.97,63.39,0.12,0.058546,0.089273,0.089636,0.059455,0.074545,0.059865,0.059495,0.12,0.12,0.5338,0.5338,0.18212,0.17584,0.003669,0.07009,0.071802,0.384159,0.00019208,0.071802,FORWARD_CURVE_R,2.79,2.8
4,0.256,kalman,72.76,64.94,68.85,74.83,63.73,64.21,0.057884,0.12,0.088942,0.083285,0.071564,0.077425,0.059223,0.057199,0.12,0.12,0.7096,0.7096,0.17584,0.17584,0.003605,0.068197,0.0716,0.36875,0.00018438,0.0716,FORWARD_CURVE_R,2.74,2.78
5,0.32,kalman,66.84,59.89,60.78,71.1,57.4,69.27,0.059939,0.12,0.089969,0.071273,0.083798,0.077535,0.12,0.058446,0.12,0.059077,0.8855,0.8918,0.17584,0.18212,0.003669,0.067931,0.071413,0.36255,0.00018127,0.071413,FORWARD_CURVE_R,2.77,4.0
6,0.384,kalman,67.06,64.99,72.76,67.55,71.89,67.64,0.05986,0.12,0.08993,0.071325,0.095827,0.083576,0.057884,0.059683,0.058175,0.059651,1.0613,1.143,0.17584,0.2512,0.004377,0.067036,0.072991,0.36002,0.00018001,0.072991,FORWARD_CURVE_R,2.79,2.76
7,0.448,kalman,71.16,72.53,66.83,64.85,67.13,54.67,0.058424,0.057959,0.058192,0.071221,0.095301,0.083261,0.059942,0.12,0.059835,0.12,1.2434,1.3188,0.18212,0.17584,0.003669,0.069321,0.074326,0.358983,0.00017949,0.074326,FORWARD_CURVE_L,4.0,2.8
8,0.512,kalman,70.14,68.79,69.07,71.6,61.35,64.64,0.058774,0.059246,0.05901,0.058976,0.095441,0.077209,0.059148,0.058275,0.12,0.12,1.4946,1.5009,0.2512,0.18212,0.004442,0.069884,0.07251,0.358556,0.00017928,0.07251,FORWARD_CURVE_R,2.77,2.78
9,0.576,kalman,63.28,63.75,63.42,68.15,74.12,70.78,0.12,0.12,0.12,0.071399,0.095441,0.08342,0.12,0.059472,0.057432,0.058554,1.6705,1.6768,0.17584,0.17584,0.003605,0.068906,0.074107,0.35838,0.00017919,0.074107,FORWARD_CURVE_R,2.79,4.0
10,0.64,kalman,68.1,66.56,69.42,66.45,69.68,65.62,0.059489,0.060037,0.059763,0.07131,0.083448,0.077379,0.059025,0.060077,0.058935,0.060378,1.8526,1.9342,0.18212,0.25748,0.004506,0.069601,0.072388,0.358308,0.00017915,0.072388,FORWARD_CURVE_R,2.8,2.78
11,0.704,kalman,68.16,73.45,66.61,67.11,60.34,67.0,0.059469,0.057652,0.058561,0.071231,0.070979,0.071105,0.060021,0.05984,0.12,0.059882,2.0284,2.1101,0.17584,0.17584,0.003605,0.068783,0.069615,0.358278,0.00017914,0.069615,FORWARD_CURVE_R,2.8,2.8
12,0.768,kalman,66.62,68.49,68.68,67.58,62.18,72.36,0.060017,0.059351,0.059684,0.07155,0.071257,0.071404,0.059284,0.059674,0.12,0.058019,2.2043,2.2859,0.17584,0.17584,0.003605,0.066011,0.067943,0.358266,0.00017913,0.067943,FORWARD_CURVE_R,2.79,2.79
13,0.832,kalman,69.81,69.76,65.17,70.73,66.02,70.97,0.05889,0.058906,0.058898,0.071573,0.071189,0.071381,0.060545,0.058571,0.060232,0.058491,2.3864,2.468,0.18212,0.18212,0.003733,0.064209,0.066779,0.358261,0.00017913,0.066779,FORWARD_CURVE_R,2.77,2.81
14,0.896,kalman,67.51,65.36,67.67,71.32,69.3,68.28,0.059698,0.060474,0.060086,0.059513,0.059284,0.059398,0.05964,0.05837,0.059068,0.059423,2.5622,2.6439,0.17584,0.17584,0.003605,0.063174,0.061821,0.358259,0.00017913,0.061821,FORWARD_CURVE_R,2.77,2.79
15,0.96,kalman,72.06,63.58,73.66,67.63,67.12,62.73,0.058121,0.12,0.08906,0.059239,0.071276,0.065258,0.057585,0.059656,0.059836,0.12,2.7381,2.826,0.17584,0.18212,0.003669,0.058152,0.060698,0.358258,0.00017913,0.060698,FORWARD_CURVE_R,2.79,2.75
